# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 5172031822430
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
    24.37%  main     [.] std::_Construct<LLord<LLord const&> >
    20.02%  main     [.] __gnu_cxx::operator!=<LLord const*, std::vector<LLord, std::allocator<LLord> > >
    10.60%  main     [.] std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >, LLord*>
     9.03%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::base
     7.11%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::operator++
     6.49%  main     [.] operator new
     4.48%  main     [.] std::forward<LLord const&>
     4.07%  main     [.] std::__addressof<LLord>
     3.97%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::operator*
     0.16%  main     [.] approxChol
     0.14%  main     [.] std::generate_canonical<double, 53ul, std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >
     0.13%  main     [.] std::lower_bound<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>
     0.10%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator*
     0.09%  main     [.] std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.06%  main     [.] cmp_val
     0.06%  main     [.] get_ll_col
     0.06%  main     [.] cmp_row
     0.05%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::operator[]
     0.04%  main     [.] std::advance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long>
     0.04%  main     [.] compressCol
     0.04%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator--
     0.04%  main     [.] std::__unguarded_partition<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol, bool (*)(LLcol const&, LLcol const&)>
     0.03%  main     [.] __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+=
     0.03%  main     [.] __gnu_cxx::new_allocator<int>::construct<int, int const&>
     0.03%  main     [.] std::__insertion_sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
