# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 10M of event 'cycles:u'
# Event count (approx.): 9918151738131
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.01%  main     [.] std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.01%  main     [.] std::advance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, int>
     0.01%  main     [.] std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.01%  main     [.] std::allocator_traits<std::allocator<double> >::construct<double, double const&>
     0.01%  main     [.] std::allocator_traits<std::allocator<int> >::construct<int, int const&>
     0.01%  main     [.] std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::min
     0.01%  main     [.] std::uniform_real_distribution<double>::param_type::a
     0.01%  main     [.] std::allocator_traits<std::allocator<int> >::_S_construct<int, int const&>
     0.01%  main     [.] std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>
     0.01%  main     [.] std::allocator_traits<std::allocator<double> >::_S_construct<double, double const&>
     0.01%  main     [.] std::__niter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.01%  main     [.] std::__copy_move_backward_a2<true, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.01%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::size
     0.01%  main     [.] std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, double>::_Adaptor
     0.01%  main     [.] std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<LLcol>
     0.01%  main     [.] std::max<unsigned long>
     0.00%  main     [.] std::min<unsigned long>
     0.00%  main     [.] std::uniform_real_distribution<double>::param_type::b
     0.00%  main     [.] LLMatOrd::LLMatOrd
     0.00%  main     [.] std::vector<LLord, std::allocator<LLord> >::vector
     0.00%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::operator=
     0.00%  main     [.] std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >, LLord*, LLord>
     0.00%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, true>::_S_base
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_get_Tp_allocator
     0.00%  main     [.] std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::max
     0.00%  main     [.] std::_Destroy<LLord*>
     0.00%  main     [.] std::__copy_move_backward_a<true, LLcol*, LLcol*>
     0.00%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator-
     0.00%  main     [.] LLMatOrd::~LLMatOrd
     0.00%  main     [.] std::__miter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] std::uninitialized_copy<__gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >, LLord*>
     0.00%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, false>::_S_base
     0.00%  main     [.] std::_Destroy<LLord*, LLord>
     0.00%  main     [.] __gnu_cxx::new_allocator<LLord>::deallocate
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_deallocate
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_deallocate
     0.00%  main     [.] std::allocator<LLord>::~allocator
     0.00%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::vector
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::~_Vector_base
     0.00%  main     [.] std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<LLcol>
     0.00%  main     [.] std::move_backward<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] std::__final_insertion_sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.00%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::begin
     0.00%  main     [.] std::__copy_move_a<false, LLcol const*, LLcol*>
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::~_Vector_base
     0.00%  main     [.] std::vector<int, std::allocator<int> >::vector
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl
     0.00%  main     [.] std::uninitialized_copy<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*>
     0.00%  main     [.] std::__niter_base<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::_Vector_base
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_allocate
     0.00%  main     [.] std::__copy_move_a<false, int const*, int*>
     0.00%  main     [.] std::vector<double, std::allocator<double> >::emplace_back<double>
     0.00%  main     [.] std::allocator<LLcol>::~allocator
     0.00%  main     [.] __gnu_cxx::operator==<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >
     0.00%  main     [.] std::copy<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*>
     0.00%  main     [.] std::vector<LLord, std::allocator<LLord> >::size
     0.00%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::end
     0.00%  main     [.] operator delete@plt
     0.00%  main     [.] std::vector<int, std::allocator<int> >::~vector
     0.00%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::end
     0.00%  main     [.] std::vector<int, std::allocator<int> >::size
     0.00%  main     [.] std::sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.00%  main     [.] std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] __gnu_cxx::new_allocator<LLord>::allocate
     0.00%  main     [.] std::__miter_base<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>
     0.00%  main     [.] Edge::operator<
     0.00%  main     [.] std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>
     0.00%  main     [.] std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     0.00%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::begin
     0.00%  main     [.] std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     0.00%  main     [.] std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >
     0.00%  main     [.] std::vector<LLord, std::allocator<LLord> >::~vector
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::allocate
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::deallocate
     0.00%  main     [.] std::allocator<int>::~allocator
     0.00%  main     [.] std::__lg
     0.00%  main     [.] std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*>
     0.00%  main     [.] std::allocator<int>::allocator
     0.00%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base
     0.00%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, false>::_S_base
     0.00%  main     [.] std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*>
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_create_storage
     0.00%  main     [.] std::forward<double>
     0.00%  main     [.] std::allocator_traits<std::allocator<LLcol> >::_S_select<std::allocator<LLcol> const>
     0.00%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::capacity
     0.00%  main     [.] __gnu_cxx::new_allocator<LLcol>::allocate
     0.00%  main     [.] std::__fill_n_a<double*, unsigned long, double>
     0.00%  main     [.] std::vector<int, std::allocator<int> >::end
     0.00%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, true>::_S_base
     0.00%  main     [.] std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_Vector_impl::_Vector_impl
     0.00%  main     [.] __gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >::__normal_iterator
     0.00%  main     [.] std::allocator_traits<std::allocator<LLcol> >::select_on_container_copy_construction
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_create_storage
     0.00%  main     [.] std::allocator<LLcol>::allocator
     0.00%  main     [.] std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >
     0.00%  main     [.] __gnu_cxx::new_allocator<double>::construct<double, double>
     0.00%  main     [.] std::vector<LLord, std::allocator<LLord> >::begin
     0.00%  main     [.] std::vector<int, std::allocator<int> >::begin
     0.00%  main     [.] std::__niter_base<int*>
     0.00%  main     [.] getPartition_val
     0.00%  main     [.] std::__fill_n_a<int*, unsigned long, int>
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::~_Vector_base
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_create_storage
     0.00%  main     [.] std::vector<LLord, std::allocator<LLord> >::end
     0.00%  main     [.] __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base
     0.00%  main     [.] std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*, LLcol>
     0.00%  main     [.] __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator
     0.00%  main     [.] std::_Destroy_aux<true>::__destroy<LLord*>
     0.00%  main     [.] __gnu_cxx::__alloc_traits<std::allocator<LLcol> >::_S_select_on_copy
     0.00%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base
     0.00%  main     [.] std::allocator<LLord>::allocator
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_Vector_impl::_Vector_impl
     0.00%  main     [.] __gnu_cxx::new_allocator<int>::max_size
     0.00%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::__normal_iterator
     0.00%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_get_Tp_allocator
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_allocate
     0.00%  main     [.] std::allocator_traits<std::allocator<double> >::construct<double, double>
     0.00%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator
     0.00%  main     [.] std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     0.00%  main     [.] __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy
     0.00%  main     [.] std::__niter_base<LLcol*>
     0.00%  main     [.] std::allocator_traits<std::allocator<double> >::_S_construct<double, double>
     0.00%  main     [.] getPartition_row
     0.00%  main     [.] std::move<double&>
     0.00%  main     [.] std::vector<double, std::allocator<double> >::push_back
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_Vector_impl::~_Vector_impl
     0.00%  main     [.] std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction
     0.00%  main     [.] __gnu_cxx::new_allocator<LLcol>::max_size
     0.00%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_Vector_base
     0.00%  main     [.] std::copy<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.00%  main     [.] std::__fill_n_a<LLcol*, unsigned long, LLcol>
     0.00%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::~vector
     0.00%  main     [.] __gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >::base
