# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'cycles:u'
# Event count (approx.): 109176193282
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.06%  main     [.] std::lower_bound<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>
     0.06%  main     [.] __gnu_cxx::operator-<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >
     0.06%  main     [.] std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<LLcol>
     0.06%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::size
     0.05%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator*
     0.05%  main     [.] std::vector<LLord, std::allocator<LLord> >::operator[]
     0.05%  main     [.] std::vector<int, std::allocator<int> >::operator[]
     0.04%  main     [.] std::vector<LLord, std::allocator<LLord> >::vector
     0.04%  main     [.] std::__copy_move_a<false, LLcol const*, LLcol*>
     0.04%  main     [.] std::__niter_base<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.04%  main     [.] std::__niter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.03%  main     [.] LLMatOrd::~LLMatOrd
     0.03%  main     [.] cmp_val
     0.03%  main     [.] std::vector<double, std::allocator<double> >::emplace_back<double>
     0.03%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::begin
     0.03%  main     [.] std::vector<int, std::allocator<int> >::vector
     0.03%  main     [.] cmp_row
     0.03%  main     [.] std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.03%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_create_storage
     0.03%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::end
     0.03%  main     [.] __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >
     0.03%  main     [.] std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.03%  main     [.] std::uninitialized_copy<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*>
     0.03%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::vector
     0.03%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::~_Vector_base
     0.03%  main     [.] std::vector<int, std::allocator<int> >::push_back
     0.03%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::operator=
     0.03%  main     [.] __gnu_cxx::operator==<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >
     0.03%  main     [.] __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+=
     0.02%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_M_create_storage
     0.02%  main     [.] std::__copy_move_backward_a2<true, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.02%  main     [.] std::allocator<int>::allocator
     0.02%  main     [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl
     0.02%  main     [.] std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >
     0.02%  main     [.] std::uninitialized_copy<__gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >, LLord*>
     0.02%  main     [.] std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>
     0.02%  main     [.] std::__fill_n_a<double*, unsigned long, double>
     0.02%  main     [.] std::_Destroy<LLord*, LLord>
     0.02%  main     [.] __gnu_cxx::new_allocator<int>::construct<int, int const&>
