# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 2571398003
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
    13.64%  main     [.] std::_Construct<LLord<LLord const&> >
    10.67%  main     [.] __gnu_cxx::operator!=<LLord const*, std::vector<LLord, std::allocator<LLord> > >
     6.31%  main     [.] std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >, LLord*>
     5.28%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::base
     4.22%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::operator++
     3.74%  main     [.] operator new
     3.39%  main     [.] std::generate_canonical<double, 53ul, std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >
     3.15%  main     [.] approxChol
     2.65%  main     [.] std::lower_bound<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>
     2.50%  main     [.] std::forward<LLord const&>
     2.40%  main     [.] std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     2.32%  main     [.] std::__addressof<LLord>
     2.31%  main     [.] __gnu_cxx::__normal_iterator<LLord const*, std::vector<LLord, std::allocator<LLord> > >::operator*
     2.00%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator*
     1.46%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::operator[]
     1.32%  main     [.] cmp_row
     1.28%  main     [.] compressCol
     1.00%  main     [.] __gnu_cxx::operator!=<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >
     1.00%  main     [.] get_ll_col
     0.97%  main     [.] std::advance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long>
     0.86%  main     [.] cmp_val
     0.72%  main     [.] __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+=
     0.64%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::operator--
     0.61%  main     [.] __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >::base
     0.57%  main     [.] std::__insertion_sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.54%  main     [.] __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >
     0.54%  main     [.] std::vector<LLord, std::allocator<LLord> >::operator[]
     0.53%  main     [.] std::__unguarded_partition<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol, bool (*)(LLcol const&, LLcol const&)>
     0.53%  main     [.] std::vector<int, std::allocator<int> >::operator[]
