# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 538  of event 'cycles:u'
# Event count (approx.): 489552705
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.19%  main     [.] __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy
     0.19%  main     [.] std::__distance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >
     0.19%  main     [.] std::forward<int const&>
     0.19%  main     [.] std::_Destroy_aux<true>::__destroy<LLord*>
     0.19%  main     [.] std::vector<LLord, std::allocator<LLord> >::~vector
     0.19%  main     [.] __gnu_cxx::new_allocator<int>::max_size
     0.19%  main     [.] __gnu_cxx::new_allocator<double>::construct<double, double const&>
     0.19%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_Vector_impl::~_Vector_impl
     0.19%  main     [.] std::vector<double, std::allocator<double> >::operator[]
     0.19%  main     [.] __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >
     0.19%  main     [.] std::allocator_traits<std::allocator<int> >::construct<int, int const&>
     0.19%  main     [.] std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*>
     0.19%  main     [.] std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >
     0.19%  main     [.] __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base
     0.19%  main     [.] std::__uninitialized_default_n<LLcol*, unsigned long>
     0.19%  main     [.] std::vector<int, std::allocator<int> >::size
     0.19%  main     [.] std::__final_insertion_sort<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, bool (*)(LLcol const&, LLcol const&)>
     0.19%  main     [.] std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, double>::operator()
     0.19%  main     [.] std::vector<double, std::allocator<double> >::emplace_back<double>
     0.19%  main     [.] std::uniform_real_distribution<double>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >
     0.19%  main     [.] std::_Destroy<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.19%  main     [.] std::_Destroy<int*>
     0.19%  main     [.] std::_Iter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, true>::_S_base
     0.19%  main     [.] std::__copy_move_a<false, LLcol const*, LLcol*>
     0.19%  main     [.] std::__niter_base<__gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.19%  main     [.] std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction
     0.19%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::~_Vector_base
     0.19%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_Vector_impl::_Vector_impl
     0.19%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator
     0.19%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::~_Vector_base
     0.19%  main     [.] std::__copy_move_backward_a2<true, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >, __gnu_cxx::__normal_iterator<LLcol*, std::vector<LLcol, std::allocator<LLcol> > > >
     0.19%  main     [.] cmp_row
     0.19%  main     [.] std::advance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, int>
     0.19%  main     [.] std::__copy_move_backward_a<true, LLcol*, LLcol*>
     0.19%  main     [.] std::__iterator_category<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >
     0.19%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::end
     0.18%  main     [.] std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>
     0.18%  main     [.] __gnu_cxx::operator==<LLcol*, std::vector<LLcol, std::allocator<LLcol> > >
     0.18%  main     [.] std::vector<double, std::allocator<double> >::begin
     0.18%  main     [.] std::__copy_move_a<true, double*, double*>
     0.18%  main     [.] std::vector<LLcol, std::allocator<LLcol> >::vector
     0.18%  main     [.] std::allocator_traits<std::allocator<LLcol> >::select_on_container_copy_construction
     0.18%  main     [.] __gnu_cxx::new_allocator<LLcol>::allocate
     0.18%  main     [.] std::move<LLcol&>
     0.14%  main     [.] LLMatOrd::LLMatOrd
     0.13%  main     [.] std::less<int>::operator()


#
# (Tip: Order by the overhead of source file name and line number: perf report -s srcline)
#
