V E Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw Bc Bcm Bi Bim function
5000 80000  115,048,653   91   90    26,647,691   1,522,805     1    11,124,128     200,566   4,103    16,310,788 2,370,842         0   0  Merge+SIMD
10000 20000 1,621,152,413   55   55   204,027,678  50,295,784     1   202,598,663  50,294,703  4,158   402,394,411 293,864         0   0  Baseline
10000 20000   30,906,031   92   92     7,640,772     139,825     0     4,086,306     104,609  7,876     4,143,211 534,329         0   0  Merge
10000 20000   30,848,270   99   99     8,690,885     155,450     0     4,470,547     119,131  2,544     4,316,233 620,355         0   0  Merge+Rand
10000 20000   29,785,162   78   78     6,398,218     268,405     0     3,168,713      44,130 10,233     3,897,299 653,302         0   0  Vector
10000 20000   28,099,811   93   92     7,262,578     283,981     1     3,179,721      36,995      0     3,783,397 496,686         0   0  Merge+SIMD
10000 20000   27,462,054   87   87     5,654,300     300,170     0     3,803,814     272,771  6,146     3,403,764 526,731         0   0  Inline
10000 40000 3,250,450,967   55   55   409,186,132 100,499,727     1   405,579,456 100,523,974  42,083   805,947,503   749,786         0   0  Baseline
10000 40000  75,603,358   92   92    18,108,048     291,535     0     9,412,857     301,775   6,459    10,348,246 1,328,155         0   0  Merge
10000 40000   74,114,508   78   78    15,127,394     744,829     0     7,147,644     113,061  43,410    10,026,043 1,729,023         0   0  Vector
10000 40000   66,040,835   86   86    13,301,012     546,075     0     8,643,139     486,588     150     8,458,162 1,314,731         0   0  Inline
10000 40000   64,960,419   93   92    15,977,115     761,155     1     6,843,946      93,511       0     9,012,202 1,201,219         0   0  Merge+SIMD
10000 40000   45,126,135   98   98    12,288,240     225,417     0     6,148,115     197,214   1,923     6,270,691   582,740         0   0  Merge+Rand
10000 80000 6,511,813,722   55   55   819,756,920 200,918,374     1   811,563,227 201,000,547  40,541 1,613,522,167 1,809,216         0   0  Baseline
10000 80000  167,287,724   78   78    32,929,322   1,849,461     0    15,084,876     275,730  89,210    23,068,705 4,134,179         0   0  Vector
10000 80000  162,861,550   91   91    38,135,175     581,065     0    19,597,494     712,805   7,353    22,483,963 2,947,989         0   0  Merge
10000 80000  152,615,197   97   97    40,789,726     607,257     0    20,201,050     729,549   2,123    21,984,800 2,494,681         0   0  Merge+Rand
10000 80000  144,455,927   86   86    28,537,407   1,041,747     0    18,177,994     915,448       0    18,810,120 3,003,069         0   0  Inline
10000 80000  133,558,567   92   91    31,639,659   1,712,786     1    13,429,284     212,875       0    18,805,618 2,609,491         0   0  Merge+SIMD
20000 40000 6,445,476,741   55   55    808,582,078 200,616,398     1    805,486,845 200,598,993  17,973  1,605,188,423   668,858         0   0  Baseline
20000 40000    65,879,941   92   92     16,190,444     317,706     0      8,630,236     237,245   3,517      8,853,836 1,143,272         0   0  Merge
20000 40000    64,640,003   78   78     13,731,382     643,955     0      6,755,041     100,031  42,017      8,509,738 1,444,688         0   0  Vector
20000 40000    59,277,910   93   92     15,193,540     664,877     1      6,642,998      86,599   3,563      8,013,540 1,059,695         0   0  Merge+SIMD
20000 40000    59,065,756   87   87     12,083,659     628,769     0      8,086,845     554,069      99      7,352,925 1,143,782         0   0  Inline
20000 40000    55,220,752   99   99     15,247,410     299,541     0      7,857,430     216,899   6,669      7,578,194   837,059         0   0  Merge+Rand
20000 80000 12,911,755,890   55   55  1,620,161,088 401,061,951     1  1,612,130,559 401,131,878  43,010  3,213,275,799 1,708,871         0   0  Baseline
20000 80000   165,903,593   92   92     39,493,517     681,613     0     20,452,829     711,066  26,893     22,763,342 2,943,374         0   0  Merge
20000 80000   165,566,950   78   78     33,430,932   1,840,371     0     15,693,086     267,048  90,861     22,527,379 3,928,910         0   0  Vector
20000 80000   145,135,690   86   86     29,033,052   1,180,207     0     18,771,000   1,045,158     132     18,656,740 2,922,525         0   0  Inline
20000 80000   141,651,351   93   92     34,486,907   1,778,623     1     14,751,004     225,901   2,087     19,729,334 2,663,292         0   0  Merge+SIMD
20000 80000    83,636,344   98   98     22,740,280     476,446     0     11,352,475     390,841   3,829     11,557,332 1,070,206         0   0  Merge+Rand
